date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:31:23	2926/2926	---M--	200	added ('OK')	image/svg+xml	date:Wed,%2028%20Aug%202019%2010:04:18%20GMT	https://sso.unej.ac.id/cas/themes/unej/images/3.svg	D:/SKRIPSI/UI/Login%20SSO/Login%20SSO/sso.unej.ac.id/cas/themes/unej/images/3.svg	(from https://sso.unej.ac.id/cas/login)
08:31:24	13715/13715	---M--	200	added ('OK')	image/svg+xml	date:Wed,%2028%20Aug%202019%2010:04:18%20GMT	https://sso.unej.ac.id/cas/themes/unej/images/6.svg	D:/SKRIPSI/UI/Login%20SSO/Login%20SSO/sso.unej.ac.id/cas/themes/unej/images/6.svg	(from https://sso.unej.ac.id/cas/login)
08:31:24	28299/28299	---M--	200	added ('OK')	image/png	date:Wed,%2028%20Aug%202019%2010:04:18%20GMT	https://sso.unej.ac.id/cas/themes/unej/images/kawanda_sso.png	D:/SKRIPSI/UI/Login%20SSO/Login%20SSO/sso.unej.ac.id/cas/themes/unej/images/kawanda_sso.png	(from https://sso.unej.ac.id/cas/login)
08:31:26	12187/12187	---M--	200	added ('OK')	image/svg+xml	date:Wed,%2028%20Aug%202019%2010:04:18%20GMT	https://sso.unej.ac.id/cas/themes/unej/images/8.svg	D:/SKRIPSI/UI/Login%20SSO/Login%20SSO/sso.unej.ac.id/cas/themes/unej/images/8.svg	(from https://sso.unej.ac.id/cas/login)
08:31:26	17076/17076	---M--	200	added ('OK')	image/png	date:Wed,%2028%20Aug%202019%2010:04:18%20GMT	https://sso.unej.ac.id/cas/themes/unej/images/mail.png	D:/SKRIPSI/UI/Login%20SSO/Login%20SSO/sso.unej.ac.id/cas/themes/unej/images/mail.png	(from https://sso.unej.ac.id/cas/login)
08:31:28	10084/10084	---M--	200	added ('OK')	image/svg+xml	date:Wed,%2028%20Aug%202019%2010:04:18%20GMT	https://sso.unej.ac.id/cas/themes/unej/images/key.svg	D:/SKRIPSI/UI/Login%20SSO/Login%20SSO/sso.unej.ac.id/cas/themes/unej/images/key.svg	(from https://sso.unej.ac.id/cas/login)
08:31:29	605164/605164	---M--	200	added ('OK')	image/png	date:Wed,%2028%20Aug%202019%2010:04:18%20GMT	https://sso.unej.ac.id/cas/themes/unej/images/header.png	D:/SKRIPSI/UI/Login%20SSO/Login%20SSO/sso.unej.ac.id/cas/themes/unej/images/header.png	(from https://sso.unej.ac.id/cas/login)
08:31:30	3121/3121	---M--	200	added ('OK')	application/javascript	date:Thu,%2014%20Sep%202017%2002:58:44%20GMT	https://sso.unej.ac.id/cas/webjars/jquery-cookie/1.4.1-1/jquery.cookie.js	D:/SKRIPSI/UI/Login%20SSO/Login%20SSO/sso.unej.ac.id/cas/webjars/jquery-cookie/1.4.1-1/jquery.cookie.js	(from https://sso.unej.ac.id/cas/login)
08:31:32	70808/70808	---M--	200	added ('OK')	application/javascript	date:Wed,%2021%20Nov%202018%2004:34:24%20GMT	https://sso.unej.ac.id/cas/webjars/bootstrap/4.1.0/js/bootstrap.bundle.min.js	D:/SKRIPSI/UI/Login%20SSO/Login%20SSO/sso.unej.ac.id/cas/webjars/bootstrap/4.1.0/js/bootstrap.bundle.min.js	(from https://sso.unej.ac.id/cas/login)
08:31:33	9680/9680	---M--	200	added ('OK')	application/javascript	date:Mon,%2014%20Aug%202017%2002:52:20%20GMT	https://sso.unej.ac.id/cas/webjars/headjs/1.0.3/head.min.js	D:/SKRIPSI/UI/Login%20SSO/Login%20SSO/sso.unej.ac.id/cas/webjars/headjs/1.0.3/head.min.js	(from https://sso.unej.ac.id/cas/login)
